Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company,SMA_20,EMA_20,RSI_14,Bollinger_Upper_20,Bollinger_Lower_20,MACD,MACD_Signal,Volatility_10,OBV,Lag_Close_Change_1,Lag_Close_Change_3,Lag_Close_Change_5,Drawdown_%,Volume_Spike_10,Price_to_SMA_50,Volatility_Ratio,Short_Label
2020-03-17 04:00:00+00:00,18.438574567718,18.8161875840219,17.5267771559099,18.7148761749268,8502400,0.0,0.0,KDP,24.33118076324464,23.339124417572183,19.10359325035938,29.80963734075237,18.852724185736907,-1.698081429869564,-0.9753268245418498,0.0619723185065387,-1929900.0,3.673504880914314,-11.613747884586212,-19.524763970659887,-34.55355914257554,0.9482554793695548,0.7381682303887794,1.7738776303464785,0
2020-03-13 04:00:00+00:00,87.0899963378906,92.0299987792969,85.1100006103516,92.0299987792969,2417000,0.0,0.0,KEYS,94.41750068664552,93.77745748934224,51.017130198274494,102.42992521917424,86.40507615411681,-2.00230947528604,-1.4582734356128673,0.0664635471897315,86359400.0,11.741134163772582,-2.952655275432947,-4.1454049248809355,-15.630732274982387,0.914885724451712,0.9438916076640452,1.889761176342828,1
2019-02-26 05:00:00+00:00,27.3915904095449,27.6075844836188,26.4316042010673,26.4956016540527,36361600,0.0,0.0,KHC,36.48945264816284,35.201464895976684,10.222552914312644,44.46910699639915,28.50979829992653,-1.8538679248837724,-0.5170900950270356,0.0868307253246754,-283373400.0,-3.2427914402077485,-31.257780391503275,-30.66777973604179,-35.58925017186155,1.3715898010414722,0.7267428612577279,1.905825313217001,0
2019-02-27 05:00:00+00:00,26.5196041764591,26.5996017580541,25.6396155203534,25.759614944458,28284100,0.0,0.0,KHC,35.90226154327392,34.302241091070144,9.974256620329284,45.189049913749585,26.61547317279826,-2.361968254770495,-0.8860657269757276,0.085258001364244,-311657500.0,-2.7777693792513825,-7.868381150447357,-33.27807531966157,-37.378432257533795,0.9819991757679956,0.7116368257012656,1.830013082412196,0
2019-02-28 05:00:00+00:00,25.9356084023144,26.9115946977366,25.4556168432249,26.5515995025635,39658300,0.0,0.0,KHC,35.35986948013306,33.564084749307604,14.688188737839551,45.50586307474254,25.21387588552357,-2.669957286316972,-1.2428440388439763,0.0875422899380304,-271999200.0,3.074520173586248,-3.038297291405101,-31.112495281536955,-35.45311952427569,1.2329161052606057,0.738172260605651,1.8965663238216988,0
2020-03-13 04:00:00+00:00,18.2439983605976,20.6060979854698,17.7801687407248,20.5889186859131,15014300,0.0,0.0,KHC,21.61248950958252,21.56704091920539,43.05477932329413,24.469309181575625,18.755669837589416,-1.240914713094341,-1.075618351660783,0.0882623054763666,-363876800.0,19.491542403439333,-0.480801764669958,-6.330368429049738,-49.94838358360549,1.1908408450089822,0.8574914317767155,2.051000540988389,1
2020-03-10 04:00:00+00:00,24.3796007938832,24.5421315387842,23.1175982210259,24.3031158447266,5819300,0.0,0.0,KKR,29.196240329742437,28.029552186045404,22.31623384917012,35.00399062128857,23.388490038196306,-1.4125769191117603,-0.6856306111328917,0.052226524574716,51092000.0,6.582826872810998,-9.826168575767314,-12.223745188413782,-25.081029034041663,1.113835423461497,0.8318859760655545,1.7690453083227564,1
2020-03-13 04:00:00+00:00,23.1654015490465,24.2648734206025,21.4540500599731,24.2361927032471,7655100,0.0,0.0,KKR,27.800389671325696,26.67966743254482,34.14144021628245,34.67710787829421,20.923671464357188,-1.892067261840804,-1.245635317206805,0.0797928193693711,44155700.0,15.12263610849951,-0.2753685655250026,-5.9369019152478835,-25.287332329696717,1.3027340891531574,0.8381396619875268,1.9707720554363268,1
2020-03-13 04:00:00+00:00,126.404738992228,138.719718755696,121.712852741403,138.348556518555,2804300,0.0,0.0,KLAC,147.2870147705079,146.02499846958034,45.99695120453242,169.00253277347994,125.57149676753586,-6.72993097074135,-5.402160981036727,0.0826343354931197,64590900.0,15.962025258173185,-5.951973203377648,-6.622533470911918,-19.982541762932257,1.1875531991479666,0.872688690397767,1.959348619830426,1
2020-03-13 04:00:00+00:00,113.516200730921,119.754621337485,111.129099453432,119.071319580078,4477400,0.0,0.0,KMB,123.30184020996089,122.75097743680392,46.45203471172471,133.75329577775594,112.85038464216584,-1.652095806675575,-0.6496802852076315,0.0580368201826637,29203100.0,9.704843389114217,-4.850388364555258,-8.384536010700517,-8.832729033663586,1.3209578965691209,0.9557258437474164,1.7001098987196943,0
2020-03-13 04:00:00+00:00,11.7163043650992,11.7942574540374,10.3053592539607,11.5214223861694,40427800,0.0,0.0,KMI,15.131026649475093,14.381059026326335,20.204602967052907,19.32570086559968,10.936352433350503,-1.2399571273269956,-0.7205816954694679,0.0700188633570359,399495800.0,6.637809376291548,-7.855377382940665,-23.53854193650715,-33.54316511145271,1.4061075621261725,0.722407189660302,1.8071185685820528,1
